evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Pg.seguro Incêndio,981.27,DESPESA,2022-10,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-10,XLSX,,,
Subtotal,75929.23,DESPESA,2022-10,XLSX,,,
Outros Eventos,58935.52,RECEITA,2022-11,XLSX,,,
Fundo Obras,3410.18,RECEITA,2022-11,XLSX,,,
Rec.condomínio,53395.34,RECEITA,2022-11,XLSX,,,
Rec.cond.estacionamento,680.0,RECEITA,2022-11,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2022-11,XLSX,,,
Rec.taxa Uso Box,380.0,RECEITA,2022-11,XLSX,,,
Rec.devolução,1000.0,RECEITA,2022-11,XLSX,,,
Rec. Multa,44.0,RECEITA,2022-11,XLSX,,,
Rec.multa+C.m.+Jrs.,31.07,RECEITA,2022-11,XLSX,,,
13º Salario,2277.5,RECEITA,2022-11,XLSX,,,
Subtotal,61288.09,RECEITA,2022-11,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-11,XLSX,,,
Pg.serv.limp.,4606.0,DESPESA,2022-11,XLSX,,,
Pg.fgts,293.05,DESPESA,2022-11,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-11,XLSX,,,
Pg.pis/Cofins/Csll,61.38,DESPESA,2022-11,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1227.39,DESPESA,2022-11,XLSX,,,
Pg.pis,36.63,DESPESA,2022-11,XLSX,,,
Pg.secovimed,160.05,DESPESA,2022-11,XLSX,,,
Pg.vale Transporte,1558.4,DESPESA,2022-11,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-11,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-11,XLSX,,,
Pg.salário,2581.46,DESPESA,2022-11,XLSX,,,
Pg.folha Func.bco.,27.0,DESPESA,2022-11,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2022-11,XLSX,,,
Pg.1º Parc.13º Sal.,897.84,DESPESA,2022-11,XLSX,,,
Pg.seg.vida Func.11/2022,252.03,DESPESA,2022-11,XLSX,,,
Água,8492.27,DESPESA,2022-11,XLSX,,,
Pg.ceee,1636.22,DESPESA,2022-11,XLSX,,,
Pg.equipamentos,15503.0,DESPESA,2022-11,XLSX,,,
Pg.manut.elevador,798.0,DESPESA,2022-11,XLSX,,,
Peças Elevador,2575.13,DESPESA,2022-11,XLSX,,,
Pg.reforma,6078.11,DESPESA,2022-11,XLSX,,,
Pg.impermeabilização,37253.03,DESPESA,2022-11,XLSX,,,
Pg.coluna Água,2600.0,DESPESA,2022-11,XLSX,,,
Pg.material,870.03,DESPESA,2022-11,XLSX,,,
Pg.materiais,697.85,DESPESA,2022-11,XLSX,,,
Pg.mat.limpeza,929.2,DESPESA,2022-11,XLSX,,,
Pg.issqn,776.89,DESPESA,2022-11,XLSX,,,
Pg.transações Bco.ted/Doc,27.0,DESPESA,2022-11,XLSX,,,
Pg.tarifa Banco Cobrança,549.0,DESPESA,2022-11,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-11,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-11,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-11,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-11,XLSX,,,
Subtotal,109420.98,DESPESA,2022-11,XLSX,,,
Outros Eventos,60168.91,RECEITA,2022-12,XLSX,,,
Fundo Obras,3620.98,RECEITA,2022-12,XLSX,,,
Rec.condomínio,55297.93,RECEITA,2022-12,XLSX,,,
Rec.alug.depósito,100.0,RECEITA,2022-12,XLSX,,,
Rec.cond.estacionamento,760.0,RECEITA,2022-12,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2022-12,XLSX,,,
Rec.multa+C.m.+Jrs.,68.9,RECEITA,2022-12,XLSX,,,
Rec. Multa,70.56,RECEITA,2022-12,XLSX,,,
13º Salario,2341.34,RECEITA,2022-12,XLSX,,,
